fecha,poblacional_empleada_formalmente,fbk
31/03/2009,"33,832,302.00","2,769,685.00"
30/06/2009,"34,144,097.00","2,765,703.00"
30/09/2009,"35,215,272.00","2,901,227.00"
31/12/2009,"35,151,589.00","3,177,177.00"
31/03/2010,"34,509,090.00","2,934,324.00"
30/06/2010,"35,195,299.00","3,048,934.00"
30/09/2010,"35,683,430.00","3,123,324.00"
31/12/2010,"35,541,971.00","3,494,138.00"
31/03/2011,"34,938,826.00","3,125,684.00"
30/06/2011,"35,456,865.00","3,315,693.00"
30/09/2011,"36,053,950.00","3,638,417.00"
31/12/2011,"36,209,742.00","4,255,099.00"
31/03/2012,"35,850,199.00","3,659,939.00"
30/06/2012,"36,615,362.00","3,824,557.00"
30/09/2012,"36,965,365.00","3,972,630.00"
31/12/2012,"37,104,429.00","4,204,217.00"
31/03/2013,"36,394,436.00","3,548,450.00"
30/06/2013,"37,183,823.00","3,618,699.00"
30/09/2013,"37,573,998.00","3,696,655.00"
31/12/2013,"37,819,444.00","4,048,535.00"
31/03/2014,"37,282,659.00","3,596,119.00"
30/06/2014,"37,770,837.00","3,737,868.00"
30/09/2014,"38,178,743.00","3, 904,029"
31/12/2014,"37,820,418.00","4,483,898.00"
31/03/2015,"37,879,633.00","3,981,720.00"
30/06/2015,"38,297,776.00","4,225,612.00"
30/09/2015,"38,698,112.00","4,672,467.00"
31/12/2015,"38,890,717.00","4,935,403.00"
31/03/2016,"38,592,098.00","4,427,203.00"
30/06/2016,"39,041,361.00","4,727,460.00"
30/09/2016,"39,572,192.00","4,963,434.00"
31/12/2016,"39,311,841.00","5,577,892.00"
31/03/2017,"39,003,727.00","5,096,326.00"
30/06/2017,"39,487,745.00","4,992,288.00"
30/09/2017,"39,931,648.00","5,194,211.00"
31/12/2017,"39,977,161.00","5,652,896.00"
31/03/2018,"39,702,734.00","5,202,275.00"
30/06/2018,"40,476,966.00","5,579,543.00"
30/09/2018,"40,731,107.00","5,626,349.00"
31/12/2018,"40,810,355.00","5,878,057.00"
31/03/2019,"40,668,885.00","5,383,351.00"
30/06/2019,"41,382,167.00","5,330,037.00"
30/09/2019,"41,833,511.00","5,449,333.00"
31/12/2019,"42,105,587.00","5,606,753.00"
31/03/2020,"41,865,512.00","5,105,621.00"
30/06/2020,"40,896,043.00","4,036,304.00"
30/09/2020,"39,926,575.00","4,880,449.00"
31/12/2020,"40,883,890.00","5,348,847.00"
31/03/2021,"40,551,732.00","5,267,851.00"
30/06/2021,"41,873,658.00","5,502,265.00"
30/09/2021,"42,299,584.00","5,776,377.00"
31/12/2021,"42,440,270.00","6,201,429.00"
31/03/2022,"42,210,450.00","6,223,641.00"
30/06/2022,"42,872,157.00","6,550,580.00"
30/09/2022,"43,292,403.00","6,644,792.00"
31/12/2022,"43,743,272.00","7,601,516.00"
31/03/2023,"43,583,006.00","6,978,314.00"
30/06/2023,"43,680,826.00","7,221,281.00"
30/09/2023,"44,284,698.00","7,393,261.00"
31/12/2023,"44,253,070.00","8,775,520.00"
31/03/2024,"44,203,750.00","7,432,366.00"
30/06/2024,"44,262,599.00","7,811,606.00"
30/09/2024,"44,639,567.00","8,127,198.00"
31/12/2024,"44,034,611.00","8,474,874.00"
