fecha,INDPRO,PIB
2020/01,299.82,25328802.64
2020/02,262.12,20798293.93
2020/03,286.95,24267744.92
2020/04,292.18,25952191.02
2021/01,292.88,25665402.75
2021/02,297.79,26638437.59
2021/03,299.15,26611858.34
2021/04,301.62,27844434.89
2022/01,302.38,27941047.52
2022/02,303.79,29427639.98
2022/03,303.61,29747029.23
2022/04,301.97,30986317.76
2023/01,302.17,30517803.13
2023/02,302.30,31648381.85
2023/03,302.77,32105048.55
2023/04,301.94,33194468.66
2024/01,299.96,31971884.05
2024/02,302.00,33519200.07
2024/03,300.22,33813402.16
2024/04,299.09,34722901.37
2025/01,302.20,34225193.42
2025/02,303.57,35274659.09
2025/03,305.19,35212031.07
2025/04,303.91,36309928.09
