fecha,consumo_privado,salario_mexico
31/12/1964,16294232000.00,0.53
31/12/1965,16294232000.00,0.53
31/12/1966,17345704000.00,0.63
31/12/1967,19389344000.00,0.63
31/12/1968,21202216000.00,0.72
31/12/1969,23765264000.00,0.72
31/12/1970,25938584000.00,0.84
31/12/1971,28141200000.00,0.84
31/12/1972,31689032000.00,1.00
31/12/1973,36344456000.00,1.00
31/12/1974,44033264000.00,1.35
31/12/1975,56848976000.00,1.66
31/12/1976,69553328000.00,2.48
31/12/1977,70288895371.00,2.74
31/12/1978,63130904178.00,3.10
31/12/1979,79019207625.00,3.59
31/12/1980,101302000000.00,4.22
31/12/1981,146290000000.00,5.49
31/12/1982,187830000000.00,7.34
31/12/1983,125207000000.00,13.77
31/12/1984,103714000000.00,21.57
31/12/1985,126985000000.00,33.23
31/12/1986,136056000000.00,67.31
31/12/1987,100392000000.00,176.02
31/12/1988,104676000000.00,211.22
31/12/1989,139279000000.00,274.17
31/12/1990,171966000000.00,323.60
31/12/1991,204816000000.00,362.52
31/12/1992,250237000000.00,362.52
31/12/1993,297222000000.00,391.80
31/12/1994,422280000000.00,419.10
31/12/1995,438547000000.00,552.90
31/12/1996,292117000000.00,729.00
31/12/1997,330657000000.00,729.00
31/12/1998,401654000000.00,839.70
31/12/1999,424231000000.00,957.30
31/12/2000,482540000000.00,1053.60
31/12/2001,579151000000.00,1127.10
31/12/2002,625805000000.00,1192.20
31/12/2003,644458000000.00,1245.90
31/12/2004,621225000000.00,1298.70
31/12/2005,655035000000.00,1357.20
31/12/2006,746013000000.00,1411.50
31/12/2007,807707000000.00,1466.40
31/12/2008,873847000000.00,1525.20
31/12/2009,935445000000.00,1595.70
31/12/2010,759492000000.00,1673.10
31/12/2011,904424000000.00,1741.80
31/12/2012,998337000000.00,1822.50
31/12/2013,1011770000000.00,1893.60
31/12/2014,1094610000000.00,1967.40
31/12/2015,1126570000000.00,2103.00
31/12/2016,983381000000.00,2191.20
31/12/2017,895395000000.00,2401.20
31/12/2018,946045000000.00,2651.40
31/12/2019,988046000000.00,3080.40
31/12/2020,1020200000000.00,3696.60
31/12/2021,878372000000.00,4251.00
31/12/2022,1049710000000.00,5186.10
31/12/2023,1198330000000.00,6223.20
31/12/2024,1454830000000.00,7467.90
