fecha,valor_salud,valor_espv
1981-12-31,3.3,0.68
1982-12-31,5,0.83
1983-12-31,-20,0.77
1984-12-31,-6.4,0.7
1985-12-31,3.5,0.85
1986-12-31,5.8,0.9
1987-12-31,-9.9,0.78
1988-12-31,4.8,0.58
1989-12-31,7.8,0.47
1990-12-31,10.1,0.6
1991-12-31,16.4,0.48
1992-12-31,6.2,0.43
1993-12-31,9.7,0.43
1994-12-31,7.6,0.49
1995-12-31,-13.2,0.57
1996-12-31,-1,0.54
1997-12-31,16.1,0.54
1998-12-31,12.2,0.45
1999-12-31,11.6,0.57
2000-12-31,12.2,0.5
2001-12-31,5.3,0.48
2002-12-31,0.3,0.27
2003-12-31,-0.7,0.28
2004-12-31,0.2,0.17
2005-12-31,8.6,0.27
2006-12-31,5.1,0.16
2007-12-31,1.7,0.07
2008-12-31,5.5,-0.14
2009-12-31,-11.35,-0.09
2010-12-31,18.36,0.12
2011-12-31,12.88,0.28
2012-12-31,4.99,0.28
2013-12-31,6.13,0.22
2014-12-31,14.29,0.15
2015-12-31,18.82,0.04
2016-12-31,16.51,-0.07
2017-12-31,7.34,-0.15
2018-12-31,7.99,0.05
2019-12-31,9.5,0.31
2020-12-31,13.31,-5.48
2021-12-31,28.14,-0.99
2022-12-31,69.51,6.05
2023-12-31,84.71,1.48
2024-12-31,-14.53,0.26
