Fecha ,exportaciones_trimestrales_miles_de_dolares,tipo_de_cambio_$
31/03/2009,"42,154,792",14.3317
30/06/2009,"46,254,415",13.2023
30/09/2009,"51,204,506",13.5042
31/12/2009,"58,620,411",13.0587
31/03/2010,"57,063,077",12.464
30/06/2010,"64,740,463",12.6567
30/09/2010,"66,150,428",12.5011
31/12/2010,"70,550,779",12.3571
31/03/2011,"69,739,352",11.9678
30/06/2011,"76,621,036",11.8389
30/09/2011,"76,024,743",13.4217
31/12/2011,"77,347,388",13.9787
31/03/2012,"76,824,710",12.8489
30/06/2012,"80,855,251",13.653
30/09/2012,"79,122,027",12.8521
31/12/2012,"83,212,197",13.0101
31/03/2013,"77,394,862",12.3612
30/06/2013,"85,477,946",13.0235
30/09/2013,"87,222,487",13.0119
31/12/2013,"88,581,279",13.0765
31/03/2014,"80,836,753",13.0837
30/06/2014,"90,896,170",13.0323
30/09/2014,"91,486,306",13.4541
31/12/2014,"92,525,572",14.718
31/03/2015,"80,285,613",15.1542
30/06/2015,"87,088,383",15.5676
30/09/2015,"85,956,320",17.0073
31/12/2015,"84,944,924",17.2065
31/03/2016,"73,756,234",17.4015
30/06/2016,"81,954,042",18.9113
30/09/2016,"83,852,841",19.5002
31/12/2016,"86,216,755",20.664
31/03/2017,"81,776,860",18.8092
30/06/2017,"89,188,922",17.8973
30/09/2017,"90,037,163",18.1979
31/12/2017,"97,286,112",19.7354
31/03/2018,"94,161,100",18.3445
30/06/2018,"102,214,373",19.8633
30/09/2018,"102,657,261",18.812
31/12/2018,"107,227,010",19.6829
31/03/2019,"98,093,590",19.3793
30/06/2019,"108,948,619",19.1685
30/09/2019,"106,580,904",19.6363
30/12/2019,"106,733,582",18.8452
31/03/2020,"98,077,089",23.5122
30/06/2020,"65,353,894",22.9715
30/09/2020,"100,914,033",22.4573
31/12/2020,"111,230,712",19.9487
31/03/2021,"99,896,247",20.6047
30/06/2021,"111,648,654",19.8027
30/09/2021,"109,722,346",20.306
31/12/2021,"120,102,257",20.5835
31/03/2022,"118,750,127",19.9942
30/06/2022,"134,301,541",19.9847
30/09/2022,"134,571,078",20.3058
31/12/2022,"133,154,005",19.3615
31/03/2023,"126,263,576",18.1052
30/06/2023,"135,274,707",17.072
30/09/2023,"135,456,098",17.6195
31/12/2023,"136,778,706",16.8935
