fecha,tasa_de_desempleo,tasa_de_informalidad,,
2005-03-31,3.85,59.12,,
2005-06-30,3.48,59.38,,
2005-09-30,3.78,59.72,,
2005-12-31,3.12,59.56,,
2006-03-31,3.53,58.58,,
2006-06-30,3.14,59.08,,
2006-09-30,3.99,58.06,,
2006-12-31,3.59,57.75,,
2007-03-31,3.95,57.53,,
2007-06-30,3.33,57.95,,
2007-09-30,3.84,57.66,,
2007-12-31,3.46,58.3,,
2008-03-31,3.88,57.69,,
2008-06-30,3.44,58.33,,
2008-09-30,4.12,58.01,,
2008-12-31,4.18,58.46,,
2009-03-31,5,58.64,,
2009-06-30,5.11,59.49,,
2009-09-30,6.15,59.76,,
2009-12-31,5.23,60.02,,
2010-03-31,5.29,59.51,,
2010-06-30,5.16,59.89,,
2010-09-30,5.57,59.26,,
2010-12-31,5.29,59.27,,
2011-03-31,5.15,59.2,,
2011-06-30,5.24,59.2,,
2011-09-30,5.54,59.6,,
2011-12-31,4.86,59.66,,
2012-03-31,4.91,59.45,,
2012-06-30,4.81,59.63,,
2012-09-30,5.11,59.78,,
2012-12-31,4.86,59.63,,
2013-03-31,4.9,58.73,,
2013-06-30,5.01,58.88,,
2013-09-30,5.24,58.92,,
2013-12-31,4.63,58.6,,
2014-03-31,4.81,58,,
2014-06-30,4.89,57.56,,
2014-09-30,5.24,57.88,,
2014-12-31,4.38,57.92,,
2015-03-31,4.23,57.61,,
2015-06-30,4.35,57.81,,
2015-09-30,4.6,57.79,,
2015-12-31,4.16,58.18,,
2016-03-31,4.04,57.36,,
2016-06-30,3.93,57.18,,
2016-09-30,4.03,57.37,,
2016-12-31,3.54,57.24,,
2017-03-31,3.39,57.17,,
2017-06-30,3.46,56.51,,
2017-09-30,3.55,57.19,,
2017-12-31,3.35,57.05,,
2018-03-31,3.14,56.75,,
2018-06-30,3.34,56.65,,
2018-09-30,3.46,56.7,,
2018-12-31,3.26,56.63,,
2019-03-31,3.37,56.88,,
2019-06-30,3.54,56.34,,
2019-09-30,3.74,56.5,,
2019-12-31,3.37,56.24,,
