fecha,esperanza_vida ,ingreso_per_capita
1980,60.989,3054.621623
1981,61.139,3829.144375
1982,61.293,2620.957934
1983,61.452,2169.852853
1984,61.602,2506.307428
1985,61.712,2601.708252
1986,61.778,1756.935634
1987,61.808,1888.263143
1988,61.778,2278.812227
1989,61.733,2725.055723
1990,61.756,3154.469203
1991,61.792,3708.842055
1992,61.9,4220.566437
1993,62.085,6048.348404
1994,62.308,6202.365884
1995,62.515,4183.878477
1996,62.765,4674.367927
1997,63.015,5567.355995
1998,63.218,5832.69342
1999,63.421,6499.97183
2000,63.323,7524.027138
2001,63.735,7952.764795
2002,63.848,7983.033984
2003,63.956,7434.074649
2004,64.044,7849.667596
2005,64.112,8671.758919
2006,64.207,9512.635753
2007,64.259,10134.33271
2008,64.3,10523.76854
2009,64.395,8423.569332
2010,64.498,9728.800784
2011,64.641,10664.4944
2012,64.776,10744.13352
2013,64.954,11216.80085
2014,65.11,11391.37735
2015,65.292,10021.23861
2016,65.477,9097.923977
2017,65.673,9649.278168
2018,65.87,10084.79376
2019,66.047,10369.55536
2020,65.387,8841.27075
2021,65.421,10314.05067
2022,66.725,11405.79405
2023,66.945,13860.95978
2024,67.075,14185.78122
