fecha,poblacional_empleada_formalmente,fbk
2009-03-31,"33,832,302","2,769,685"
2009-06-30,"34,144,097","2,765,703"
2009-09-30,"35,215,272","2,901,227"
2009-12-31,"35,151,589","3,177,177"
2010-03-31,"34,509,090","2,934,324"
2010-06-30,"35,195,299","3,048,934"
2010-09-30,"35,683,430","3,123,324"
2010-12-31,"35,541,971","3,494,138"
2011-03-31,"34,938,826","3,125,684"
2011-06-30,"35,456,865","3,315,693"
2011-09-30,"36,053,950","3,638,417"
2011-12-31,"36,209,742","4,255,099"
2012-03-31,"35,850,199","3,659,939"
2012-06-30,"36,615,362","3,824,557"
2012-09-30,"36,965,365","3,972,630"
2012-12-31,"37,104,429","4,204,217"
2013-03-31,"36,394,436","3,548,450"
2013-06-30,"37,183,823","3,618,699"
2013-09-30,"37,573,998","3,696,655"
2013-12-31,"37,819,444","4,048,535"
2014-03-31,"37,282,659","3,596,119"
2014-06-30,"37,770,837","3,737,868"
2014-09-30,"38,178,743","3, 904,029"
2014-12-31,"37,820,418","4,483,898"
2015-03-31,"37,879,633","3,981,720"
2015-06-30,"38,297,776","4,225,612"
2015-09-30,"38,698,112","4,672,467"
2015-12-31,"38,890,717","4,935,403"
2016-03-31,"38,592,098","4,427,203"
2016-06-30,"39,041,361","4,727,460"
2016-09-30,"39,572,192","4,963,434"
2016-12-31,"39,311,841","5,577,892"
2017-03-31,"39,003,727","5,096,326"
2017-06-30,"39,487,745","4,992,288"
2017-09-30,"39,931,648","5,194,211"
2017-12-31,"39,977,161","5,652,896"
2018-03-31,"39,702,734","5,202,275"
2018-06-30,"40,476,966","5,579,543"
2018-09-30,"40,731,107","5,626,349"
2018-12-31,"40,810,355","5,878,057"
2019-03-31,"40,668,885","5,383,351"
2019-06-30,"41,382,167","5,330,037"
2019-09-30,"41,833,511","5,449,333"
2019-12-31,"42,105,587","5,606,753"
2020-03-31,"41,865,512","5,105,621"
2020-06-30,"40,896,043","4,036,304"
2020-09-30,"39,926,575","4,880,449"
2020-12-31,"40,883,890","5,348,847"
2021-03-31,"40,551,732","5,267,851"
2021-06-30,"41,873,658","5,502,265"
2021-09-30,"42,299,584","5,776,377"
2021-12-31,"42,440,270","6,201,429"
2022-03-31,"42,210,450","6,223,641"
2022-06-30,"42,872,157","6,550,580"
2022-09-30,"43,292,403","6,644,792"
2022-12-31,"43,743,272","7,601,516"
2023-03-31,"43,583,006","6,978,314"
2023-06-30,"43,680,826","7,221,281"
2023-09-30,"44,284,698","7,393,261"
2023-12-31,"44,253,070","8,775,520"
2024-03-31,"44,203,750","7,432,366"
2024-06-30,"44,262,599","7,811,606"
2024-09-30,"44,639,567","8,127,198"
2024-12-31,"44,034,611","8,474,874"
