fecha,canasta_basica,salarios
31/01/2021,991,141.7
28/02/2021,991,141.7
31/03/2021,1052,141.7
30/04/2021,1052,141.7
31/05/2021,981,141.7
30/06/2021,981,141.7
31/07/2021,1846,141.7
31/08/2021,1846,141.7
30/09/2021,1042,141.7
31/10/2021,1042,141.7
30/11/2021,1087,141.7
31/12/2021,1087,141.7
31/01/2022,1087,172.87
28/02/2022,1140,172.87
31/03/2022,1205,172.87
30/04/2022,1205,172.87
31/05/2022,1185,172.87
30/06/2022,1219,172.87
31/07/2022,1198,172.87
31/08/2022,1243,172.87
30/09/2022,1207,172.87
31/10/2022,1167,172.87
30/11/2022,1210,172.87
31/12/2022,1210,172.87
31/01/2023,1167,207.44
28/02/2023,1193,207.44
31/03/2023,1154,207.44
30/04/2023,1165,207.44
31/05/2023,1113,207.44
30/06/2023,1242,207.44
31/07/2023,1283,207.44
31/08/2023,1299,207.44
30/09/2023,1245,207.44
31/10/2023,1279,207.44
30/11/2023,1273,207.44
31/12/2023,1273,207.44
31/01/2024,1255,248.93
29/02/2024,1157,248.93
31/03/2024,1131,248.93
30/04/2024,1125.5,248.93
31/05/2024,1103.5,248.93
30/06/2024,1100.5,248.93
31/07/2024,1121,248.93
31/08/2024,1120,248.93
30/09/2024,1120,248.93
31/10/2024,1387,248.93
30/11/2024,1387,248.93
31/12/2024,1665.1,248.93
31/01/2025,1665.1,278.8
28/02/2025,1681.3,278.8
31/03/2025,1863.26,278.8
30/04/2025,1805,278.8
31/05/2025,2440,278.8
30/06/2025,1644.8,278.8
31/07/2025,1757.7,278.8
31/08/2025,1851.8,278.8
30/09/2025,1722.9,278.8
31/10/2025,1924.7,278.8
30/11/2025,2035.15,278.8
31/12/2025,1833.6,278.8
