fecha,rvama_usa,pib_mx
2005-01-01,1858.1,18271688.44
2005-04-01,1858.4,19218715.2
2005-07-01,1878.3,18883270.71
2005-10-01,1915.9,19343329.14
2006-01-01,1974.6,19362570.76
2006-04-01,1970.1,20116112.95
2006-07-01,1970.6,19836008.96
2006-10-01,2016.3,20040523.08
2007-01-01,2010.2,19745597.37
2007-04-01,2049.0,20509471.92
2007-07-01,2082.4,20266835.2
2007-10-01,2120.3,20482204.67
2008-01-01,2045.3,19902921.79
2008-04-01,2089.3,20998503.91
2008-07-01,2037.5,20495872.63
2008-10-01,1912.5,20370948.41
2009-01-01,1808.2,18537259.15
2009-04-01,1811.7,18827563.21
2009-07-01,1838.3,19292209.62
2009-10-01,1909.3,19963698.74
2010-01-01,1931.2,19371870.87
2010-04-01,1939.0,20180561.28
2010-07-01,1963.3,20200797.99
2010-10-01,1969.4,20676573.45
2011-01-01,1958.0,20091352.13
2011-04-01,1973.3,20682934.14
2011-07-01,1955.4,20950181.65
2011-10-01,1971.0,21475374.35
2012-01-01,1989.9,21083780.27
2012-04-01,1981.5,21522112.94
2012-07-01,1949.2,21479008.34
2012-10-01,1937.8,22071206.47
2013-01-01,2010.9,21025801.06
2013-04-01,2019.7,21893508.35
2013-07-01,2043.3,21702816.35
2013-10-01,2046.8,22268119.79
2014-01-01,2011.8,21547782.44
2014-04-01,2052.1,22320155.99
2014-07-01,2069.3,22258188.34
2014-10-01,2063.7,22939645.05
2015-01-01,2078.3,22169554.39
2015-04-01,2067.3,22843017.57
2015-07-01,2068.6,23011745.82
2015-10-01,2045.0,23448299.26
2016-01-01,2049.9,22537031.13
2016-04-01,2045.8,23359955.49
2016-07-01,2058.8,23214541.38
2016-10-01,2042.7,23982434.97
2017-01-01,2062.3,23306069.2
2017-04-01,2099.5,23710326.8
2017-07-01,2111.6,23491266.57
2017-10-01,2165.5,24328766.69
2018-01-01,2189.1,23568390.17
2018-04-01,2201.8,24395733.69
2018-07-01,2216.3,24137286.23
2018-10-01,2244.9,24605271.42
2019-01-01,2207.1,23790592.91
2019-04-01,2221.2,24154801.61
2019-07-01,2240.0,24024905.7
2019-10-01,2231.0,24356623.32
2020-01-01,2174.4,23449972.17
2020-04-01,1961.8,19252746.13
2020-07-01,2190.8,22072201.56
2020-10-01,2234.8,23504819.16
2021-01-01,2264.7,22841382.92
2021-04-01,2293.3,23623518.49
2021-07-01,2288.3,23204755.17
2021-10-01,2352.9,23949667.87
2022-01-01,2305.7,23440966.47
2022-04-01,2274.2,24310226.02
2022-07-01,2268.2,24289301.4
2022-10-01,2274.6,25051880.08
2023-01-01,2224.4,24330026.11
2023-04-01,2263.3,25106433.32
2023-07-01,2323.8,25090504.91
2023-10-01,2356.6,25581872.03
2024-01-01,2314.1,24743029.86
2024-04-01,2368.9,25625594.21
2024-07-01,2389.0,25442015.96
2024-10-01,2373.4,25650242.57
2025-01-01,2337.7,24882362.66
2025-04-01,2405.0,25611244.01
2025-07-01,2434.6,25428708.2
2025-10-01,2408.6,26108456.72
