fecha,tasa_de_desempleo,tasa_de_informalidad
31/03/05,3.85,59.12
30/06/05,3.48,59.38
30/09/05,3.78,59.72
31/12/05,3.12,59.56
31/03/06,3.53,58.58
30/06/06,3.14,59.08
30/09/06,3.99,58.06
31/12/06,3.59,57.75
31/03/07,3.95,57.53
30/06/07,3.33,57.95
30/09/07,3.84,57.66
31/12/07,3.46,58.3
31/03/08,3.88,57.69
30/06/08,3.44,58.33
30/09/08,4.12,58.01
31/12/08,4.18,58.46
31/03/09,5,58.64
30/06/09,5.11,59.49
30/09/09,6.15,59.76
31/12/09,5.23,60.02
31/03/10,5.29,59.51
30/06/10,5.16,59.89
30/09/10,5.57,59.26
31/12/10,5.29,59.27
31/03/11,5.15,59.2
30/06/11,5.24,59.2
30/09/11,5.54,59.6
31/12/11,4.86,59.66
31/03/12,4.91,59.45
30/06/12,4.81,59.63
30/09/12,5.11,59.78
31/12/12,4.86,59.63
31/03/13,4.9,58.73
30/06/13,5.01,58.88
30/09/13,5.24,58.92
31/12/13,4.63,58.6
31/03/14,4.81,58
30/06/14,4.89,57.56
30/09/14,5.24,57.88
31/12/14,4.38,57.92
31/03/15,4.23,57.61
30/06/15,4.35,57.81
30/09/15,4.6,57.79
31/12/15,4.16,58.18
31/03/16,4.04,57.36
30/06/16,3.93,57.18
30/09/16,4.03,57.37
31/12/16,3.54,57.24
31/03/17,3.39,57.17
30/06/17,3.46,56.51
30/09/17,3.55,57.19
31/12/17,3.35,57.05
31/03/18,3.14,56.75
30/06/18,3.34,56.65
30/09/18,3.46,56.7
31/12/18,3.26,56.63
31/03/19,3.37,56.88
30/06/19,3.54,56.34
30/09/19,3.74,56.5
31/12/19,3.37,56.24
