fecha,ingresoporremesasenmillonesded—lares(x),indicadortrimestraldelconsumoprivadonacional(y)
01/01/15,5870.01,93.11
01/04/15,6493.48,94.08
01/07/15,6695.66,95.20
01/10/15,6317.35,98.62
01/01/16,6335.41,95.66
01/04/16,7112.90,96.94
01/07/16,7066.43,97.12
01/10/16,7116.41,100.71
01/01/17,7065.34,97.97
01/04/17,7813.08,97.84
01/07/17,7892.51,97.12
01/10/17,8171.99,100.61
01/01/18,7332.14,98.64
01/04/18,9273.28,100.10
01/07/18,8687.42,99.83
01/10/18,9142.27,101.43
01/01/19,8072.10,99.77
01/04/19,9695.38,100.42
01/07/19,10040.73,100.84
01/10/19,9442.28,102.73
01/01/20,9627.24,99.67
01/04/20,10155.10,79.54
01/07/20,10957.17,89.29
01/10/20,10964.43,95.12
01/01/21,10932.00,92.80
01/04/21,13450.41,96.84
01/07/21,13828.99,97.25
01/10/21,14311.19,101.24
01/01/22,12575.67,100.39
01/04/22,15073.05,102.95
01/07/22,15581.57,102.09
01/10/22,15637.55,105.08
01/01/23,13970.32,102.79
01/04/23,16267.15,104.01
01/07/23,16853.28,104.61
01/10/23,16227.92,107.27
01/01/24,14082.64,104.57
01/04/24,17243.85,106.07
01/07/24,17033.29,106.28
01/10/24,16386.60,107.21
01/01/25,14253.73,104.99
01/04/25,15305.01,106.85
01/07/25,16150.73,106.74
01/10/25,16067.05,108.58
